wb_region_code,country_code,pcn_region_code,country_name,year,surveyid_year,reporting_year,survey_year,survey_acronym,survey_coverage,welfare_type,use_imputed,use_microdata,use_bin,use_groupdata,survey_comparability,survey_time,surv_title,surv_producer
EAP,AUS,OHI,Australia,1981,1981,1981,1981,HIS-LIS,national,income,0,0,1,0,0,1981,Income and Housing Survey,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,1985,1985,1985,1985,IDS-LIS,national,income,0,0,1,0,1,1985,Income Distribution Survey,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,1989,1989,1989,1989,SIH-LIS,national,income,0,0,1,0,2,1989,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,1995,1995,1995,1995,SIH-LIS,national,income,0,0,1,0,2,1995,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2001,2001,2001,2001,SIH-LIS,national,income,0,0,1,0,2,2001,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2003,2003,2003,2003,SIH-LIS,national,income,0,0,1,0,2,2003,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2004,2004,2004,2004,SIH-HES-LIS,national,income,0,0,1,0,3,2004,Survey of Income and Housing (SIH) and Household Expenditure Survey (HES),Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2008,2008,2008,2008,SIH-LIS,national,income,0,0,1,0,2,2008,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2010,2010,2010,2010,SIH-HES-LIS,national,income,0,0,1,0,3,2010,Survey of Income and Housing (SIH) and Household Expenditure Survey (HES),Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2014,2014,2014,2014,SIH-LIS,national,income,0,0,1,0,2,2014,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2016,2016,2016,2016,SIH-LIS,national,income,0,0,1,0,2,2016,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,AUS,OHI,Australia,2018,2018,2018,2018,SIH-LIS,national,income,0,0,1,0,2,2018,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS)
EAP,CHN,EAP,China,1981,1981,1981,1981,CRHS-CUHS,national,income,0,0,0,1,0,1981,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1984,1984,1984,1984,CRHS-CUHS,national,income,0,0,0,1,0,1984,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1987,1987,1987,1987,CRHS-CUHS,national,income,0,0,0,1,0,1987,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1990,1990,1990,1990,CRHS-CUHS,national,consumption,0,0,0,1,1,1990,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1993,1993,1993,1993,CRHS-CUHS,national,consumption,0,0,0,1,1,1993,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1996,1996,1996,1996,CRHS-CUHS,national,consumption,0,0,0,1,1,1996,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,1999,1999,1999,1999,CRHS-CUHS,national,consumption,0,0,0,1,1,1999,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2002,2002,2002,2002,CRHS-CUHS,national,consumption,0,0,0,1,1,2002,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2005,2005,2005,2005,CRHS-CUHS,national,consumption,0,0,0,1,1,2005,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2008,2008,2008,2008,CRHS-CUHS,national,consumption,0,0,0,1,1,2008,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2010,2010,2010,2010,CRHS-CUHS,national,consumption,0,0,0,1,1,2010,China Urban/Rural Household Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2011,2011,2011,2011,CRHS-CUHS,national,consumption,0,0,0,1,1,2011,China Urban/Rural Household Survey,National Bureau of Statistics
