country_code,country_name,region_code,region_name,survey_coverage,year,welfare_time,welfare_type,poverty_line,mean,headcount,poverty_gap,poverty_severity,watts,gini,median,mld,polarization,population,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,gdp,hfce,survey_comparability,survey_acronym,survey_time,is_interpolated,distribution_type,reporting_level,comparable_spell
AGO,Angola,SSA,Sub-Saharan Africa,National,2000,2000.21,Consumption,1.9,4.1004243,.36374477,.16366062,.099811152,.28108752,.51956892,2.5936534,.51257646,.46434006,16395477,.0098324604,.021953072,.033424556,.044953074,.056627743,.070487581,.088084847,.11349456,.15868695,.40245515,.033848062,80.931801,2451.5098,,0,HBS,2000-2001,FALSE,micro,national,2000
AGO,Angola,SSA,Sub-Saharan Africa,National,2000,2000.21,Consumption,3.2,4.1004243,.59678614,.29596645,.18853512,.53092873,.51956892,2.5936534,.51257646,.46434006,16395477,.0098324604,.021953072,.033424556,.044953074,.056627743,.070487581,.088084847,.11349456,.15868695,.40245515,.033848062,80.931801,2451.5098,,0,HBS,2000-2001,FALSE,micro,national,2000
AGO,Angola,SSA,Sub-Saharan Africa,National,2000,2000.21,Consumption,5.5,4.1004243,.80548716,.47289717,.32755792,.91526467,.51956892,2.5936534,.51257646,.46434006,16395477,.0098324604,.021953072,.033424556,.044953074,.056627743,.070487581,.088084847,.11349456,.15868695,.40245515,.033848062,80.931801,2451.5098,,0,HBS,2000-2001,FALSE,micro,national,2000
AGO,Angola,SSA,Sub-Saharan Africa,National,2008,2008.5,Consumption,1.9,3.6218905,.34446856,.11649602,.054407854,.16352902,.42715514,2.6101818,.3116315,.39136526,21695636,.020719662,.033566885,.043156065,.053045705,.065426022,.079203568,.096514471,.12291698,.16233331,.32311735,.72333717,80.931801,4077.7769,1620.0656,1,IBEP-MICS,2008-2009,FALSE,micro,national,2008
AGO,Angola,SSA,Sub-Saharan Africa,National,2008,2008.5,Consumption,3.2,3.6218905,.60604566,.26601472,.14811017,.41014215,.42715514,2.6101818,.3116315,.39136526,21695636,.020719662,.033566885,.043156065,.053045705,.065426022,.079203568,.096514471,.12291698,.16233331,.32311735,.72333717,80.931801,4077.7769,1620.0656,1,IBEP-MICS,2008-2009,FALSE,micro,national,2008
AGO,Angola,SSA,Sub-Saharan Africa,National,2008,2008.5,Consumption,5.5,3.6218905,.82921124,.46249607,.30203417,.80339676,.42715514,2.6101818,.3116315,.39136526,21695636,.020719662,.033566885,.043156065,.053045705,.065426022,.079203568,.096514471,.12291698,.16233331,.32311735,.72333717,80.931801,4077.7769,1620.0656,1,IBEP-MICS,2008-2009,FALSE,micro,national,2008
AGO,Angola,SSA,Sub-Saharan Africa,National,2018,2018.17,Consumption,1.9,3.0482817,.49902955,.22697598,.13254131,.36714441,.51272112,1.9019545,.47788966,.47098193,30809787,.013295416,.024280908,.033328608,.043429296,.055842686,.069813624,.088687621,.11568738,.15939021,.39624426,2.9344141,80.931801,3595.1067,2093.4958,2,IDREA,2018-2019,FALSE,micro,national,2018
AGO,Angola,SSA,Sub-Saharan Africa,National,2018,2018.17,Consumption,3.2,3.0482817,.71484828,.38724378,.25293258,.68625474,.51272112,1.9019545,.47788966,.47098193,30809787,.013295416,.024280908,.033328608,.043429296,.055842686,.069813624,.088687621,.11568738,.15939021,.39624426,2.9344141,80.931801,3595.1067,2093.4958,2,IDREA,2018-2019,FALSE,micro,national,2018
AGO,Angola,SSA,Sub-Saharan Africa,National,2018,2018.17,Consumption,5.5,3.0482817,.88481176,.56600088,.41168156,1.1233736,.51272112,1.9019545,.47788966,.47098193,30809787,.013295416,.024280908,.033328608,.043429296,.055842686,.069813624,.088687621,.11568738,.15939021,.39624426,2.9344141,80.931801,3595.1067,2093.4958,2,IDREA,2018-2019,FALSE,micro,national,2018
ALB,Albania,ECA,Europe and Central Asia,National,1996,1996,Consumption,1.9,6.5708208,.0092066899,.0014005072,.00041112278,.0016976387,.27010342,5.7748051,.11910433,.24129327,3168033,.038632859,.052893467,.063786834,.073220417,.08379662,.093549028,.10823087,.12473869,.14899547,.21215573,.44457248,54.652584,1633.5515,1714.8135,0,EWS,1996,FALSE,micro,national,1996
