country_code,reporting_year,pop_data_level,pcn_region_code,welfare_type,reporting_level,survey_year_before,survey_year_after,pop,incgroup_historical,coverage
ABW,1981,national,OHI,,,,,60561,High income,FALSE
ABW,1982,national,OHI,,,,,61341,High income,FALSE
ABW,1983,national,OHI,,,,,62213,High income,FALSE
ABW,1984,national,OHI,,,,,62826,High income,FALSE
ABW,1985,national,OHI,,,,,63024,High income,FALSE
ABW,1986,national,OHI,,,,,62645,High income,FALSE
ABW,1987,national,OHI,,,,,61838,High income,FALSE
ABW,1988,national,OHI,,,,,61072,High income,FALSE
ABW,1989,national,OHI,,,,,61033,High income,FALSE
ABW,1990,national,OHI,,,,,62152,High income,FALSE
ABW,1991,national,OHI,,,,,64623,Upper middle income,FALSE
ABW,1992,national,OHI,,,,,68240,Upper middle income,FALSE
ABW,1993,national,OHI,,,,,72495,Upper middle income,FALSE
ABW,1994,national,OHI,,,,,76705,High income,FALSE
ABW,1995,national,OHI,,,,,80324,High income,FALSE
ABW,1996,national,OHI,,,,,83211,High income,FALSE
ABW,1997,national,OHI,,,,,85450,High income,FALSE
ABW,1998,national,OHI,,,,,87280,High income,FALSE
ABW,1999,national,OHI,,,,,89009,High income,FALSE
ABW,2000,national,OHI,,,,,90866,High income,FALSE
ABW,2001,national,OHI,,,,,92892,High income,FALSE
ABW,2002,national,OHI,,,,,94992,High income,FALSE
ABW,2003,national,OHI,,,,,97016,High income,FALSE
ABW,2004,national,OHI,,,,,98744,High income,FALSE
ABW,2005,national,OHI,,,,,100028,High income,FALSE
ABW,2006,national,OHI,,,,,100830,High income,FALSE
ABW,2007,national,OHI,,,,,101226,High income,FALSE
ABW,2008,national,OHI,,,,,101362,High income,FALSE
ABW,2009,national,OHI,,,,,101452,High income,FALSE
ABW,2010,national,OHI,,,,,101665,High income,FALSE
ABW,2011,national,OHI,,,,,102050,High income,FALSE
ABW,2012,national,OHI,,,,,102565,High income,FALSE
ABW,2013,national,OHI,,,,,103165,High income,FALSE
ABW,2014,national,OHI,,,,,103776,High income,FALSE
ABW,2015,national,OHI,,,,,104339,High income,FALSE
ABW,2016,national,OHI,,,,,104865,High income,FALSE
ABW,2017,national,OHI,,,,,105361,High income,FALSE
ABW,2018,national,OHI,,,,,105846,High income,FALSE
ABW,2019,national,OHI,,,,,106310,High income,FALSE
AFG,1981,national,SAS,,,,,13171679,Low income,FALSE
AFG,1982,national,SAS,,,,,12882518,Low income,FALSE
AFG,1983,national,SAS,,,,,12537732,Low income,FALSE
AFG,1984,national,SAS,,,,,12204306,Low income,FALSE
AFG,1985,national,SAS,,,,,11938204,Low income,FALSE
AFG,1986,national,SAS,,,,,11736177,Low income,FALSE
AFG,1987,national,SAS,,,,,11604538,Low income,FALSE
AFG,1988,national,SAS,,,,,11618008,Low income,FALSE
AFG,1989,national,SAS,,,,,11868873,Low income,FALSE
AFG,1990,national,SAS,,,,,12412311,Low income,FALSE
AFG,1991,national,SAS,,,,,13299016,Low income,FALSE
AFG,1992,national,SAS,,,,,14485543,Low income,FALSE
AFG,1993,national,SAS,,,,,15816601,Low income,FALSE
AFG,1994,national,SAS,,,,,17075728,Low income,FALSE
AFG,1995,national,SAS,,,,,18110662,Low income,FALSE
AFG,1996,national,SAS,,,,,18853444,Low income,FALSE
AFG,1997,national,SAS,,,,,19357126,Low income,FALSE
AFG,1998,national,SAS,,,,,19737770,Low income,FALSE
AFG,1999,national,SAS,,,,,20170847,Low income,FALSE
AFG,2000,national,SAS,,,,,20779957,Low income,FALSE
AFG,2001,national,SAS,,,,,21606992,Low income,FALSE
AFG,2002,national,SAS,,,,,22600774,Low income,FALSE
AFG,2003,national,SAS,,,,,23680871,Low income,FALSE
AFG,2004,national,SAS,,,,,24726689,Low income,FALSE
AFG,2005,national,SAS,,,,,25654274,Low income,FALSE
AFG,2006,national,SAS,,,,,26433058,Low income,FALSE
AFG,2007,national,SAS,,,,,27100542,Low income,FALSE
AFG,2008,national,SAS,,,,,27722281,Low income,FALSE
AFG,2009,national,SAS,,,,,28394806,Low income,FALSE
AFG,2010,national,SAS,,,,,29185511,Low income,FALSE
AFG,2011,national,SAS,,,,,30117411,Low income,FALSE
AFG,2012,national,SAS,,,,,31161378,Low income,FALSE
AFG,2013,national,SAS,,,,,32269592,Low income,FALSE
AFG,2014,national,SAS,,,,,33370804,Low income,FALSE
AFG,2015,national,SAS,,,,,34413603,Low income,FALSE
AFG,2016,national,SAS,,,,,35383028,Low income,FALSE
AFG,2017,national,SAS,,,,,36296111,Low income,FALSE
AFG,2018,national,SAS,,,,,37171922,Low income,FALSE
AFG,2019,national,SAS,,,,,38041757,Low income,FALSE
AGO,1981,national,SSA,consumption,national,2000.21,,8640478,Lower middle income,FALSE
AGO,1982,national,SSA,consumption,national,2000.21,,8952971,Lower middle income,FALSE
AGO,1983,national,SSA,consumption,national,2000.21,,9278104,Lower middle income,FALSE
AGO,1984,national,SSA,consumption,national,2000.21,,9614756,Lower middle income,FALSE
AGO,1985,national,SSA,consumption,national,2000.21,,9961993,Lower middle income,FALSE
AGO,1986,national,SSA,consumption,national,2000.21,,10320116,Lower middle income,FALSE
AGO,1987,national,SSA,consumption,national,2000.21,,10689247,Lower middle income,FALSE
AGO,1988,national,SSA,consumption,national,2000.21,,11068051,Lower middle income,FALSE
AGO,1989,national,SSA,consumption,national,2000.21,,11454784,Lower middle income,FALSE
AGO,1990,national,SSA,consumption,national,2000.21,,11848385,Lower middle income,FALSE
AGO,1991,national,SSA,consumption,national,2000.21,,12248901,Lower middle income,FALSE
AGO,1992,national,SSA,consumption,national,2000.21,,12657361,Lower middle income,FALSE
AGO,1993,national,SSA,consumption,national,2000.21,,13075044,Lower middle income,FALSE
AGO,1994,national,SSA,consumption,national,2000.21,,13503753,Lower middle income,FALSE
AGO,1995,national,SSA,consumption,national,2000.21,,13945205,Low income,FALSE
AGO,1996,national,SSA,consumption,national,2000.21,,14400722,Low income,FALSE
AGO,1997,national,SSA,consumption,national,2000.21,,14871572,Low income,FALSE
AGO,1998,national,SSA,consumption,national,2000.21,,15359600,Low income,TRUE
AGO,1999,national,SSA,consumption,national,2000.21,,15866871,Low income,TRUE
AGO,2000,national,SSA,consumption,national,2000.21,,16395477,Low income,TRUE
AGO,2001,national,SSA,consumption,national,2000.21,2008.5,16945753,Low income,TRUE
AGO,2002,national,SSA,consumption,national,2000.21,2008.5,17519418,Low income,TRUE
AGO,2003,national,SSA,consumption,national,2000.21,2008.5,18121477,Low income,TRUE
AGO,2004,national,SSA,consumption,national,2000.21,2008.5,18758138,Lower middle income,FALSE
AGO,2005,national,SSA,consumption,national,2000.21,2008.5,19433604,Lower middle income,FALSE
AGO,2006,national,SSA,consumption,national,2000.21,2008.5,20149905,Lower middle income,TRUE
AGO,2007,national,SSA,consumption,national,2000.21,2008.5,20905360,Lower middle income,TRUE
AGO,2008,national,SSA,consumption,national,2000.21,2008.5,21695636,Lower middle income,TRUE
AGO,2009,national,SSA,consumption,national,2008.5,2018.17,22514275,Lower middle income,TRUE
AGO,2010,national,SSA,consumption,national,2008.5,2018.17,23356247,Lower middle income,TRUE
AGO,2011,national,SSA,consumption,national,2008.5,2018.17,24220660,Upper middle income,TRUE
AGO,2012,national,SSA,consumption,national,2008.5,2018.17,25107925,Upper middle income,FALSE
AGO,2013,national,SSA,consumption,national,2008.5,2018.17,26015786,Upper middle income,FALSE
AGO,2014,national,SSA,consumption,national,2008.5,2018.17,26941773,Upper middle income,FALSE
